target,Semester,Exam,Time_of_day,Warning,Month,Day_of_week
1,6,0,7,0,10,Thursday
4,19,0,14,0,1,Thursday
1,6,0,10,0,9,Tuesday
1,13,0,11,0,3,Thursday
1,4,0,19,0,3,Friday
1,6,1,17,0,12,Monday
1,9,0,11,0,11,Thursday
1,7,0,9,0,3,Thursday
1,6,0,12,0,12,Wednesday
1,15,0,15,0,10,Tuesday
2,13,0,13,0,2,Tuesday
1,13,0,12,0,3,Friday
1,19,0,16,0,12,Wednesday
1,3,0,14,0,10,Friday
2,19,0,17,0,1,Wednesday
1,6,0,15,0,9,Wednesday
1,4,0,10,0,3,Friday
1,19,0,13,0,12,Friday
1,10,0,9,0,3,Monday
1,15,0,7,0,9,Friday
1,19,0,17,0,1,Friday
1,7,0,19,0,1,Thursday
2,19,0,15,0,8,Monday
1,12,0,15,1,8,Friday
1,19,0,7,0,1,Wednesday
1,7,0,19,0,2,Friday
1,7,0,3,0,1,Tuesday
1,18,0,14,0,11,Monday
1,16,0,16,0,3,Monday
1,18,0,13,0,10,Wednesday
1,18,0,13,0,10,Monday
1,18,0,10,0,10,Friday
1,10,0,11,0,3,Wednesday
1,10,0,11,0,3,Wednesday
3,18,0,11,0,9,Wednesday
2,12,0,14,0,10,Thursday
1,17,0,16,0,5,Wednesday
5,3,0,11,1,10,Monday
1,6,0,17,0,9,Sunday
1,4,0,7,0,1,Monday
1,19,0,3,0,12,Sunday
1,16,0,15,0,2,Monday
2,6,0,13,0,8,Tuesday
3,6,0,7,0,11,Tuesday
1,12,0,16,0,11,Friday
1,17,0,11,0,7,Thursday
2,3,0,17,0,9,Wednesday
1,15,0,16,0,9,Friday
2,3,0,5,0,11,Wednesday
1,4,0,19,0,1,Thursday
1,18,0,16,0,8,Thursday
1,11,0,15,0,8,Thursday
1,12,0,8,0,9,Friday
1,7,0,8,0,2,Friday
1,19,0,11,0,12,Wednesday
1,7,0,17,0,1,Tuesday
1,4,0,15,0,4,Tuesday
1,4,0,7,0,2,Thursday
1,7,0,13,0,3,Tuesday
1,7,0,9,0,1,Thursday
5,10,0,16,0,2,Wednesday
1,15,0,16,0,9,Tuesday
1,7,0,8,0,2,Friday
1,7,0,9,0,1,Thursday
1,7,0,15,0,1,Friday
1,3,0,17,0,10,Sunday
1,7,0,12,0,3,Monday
1,16,0,15,0,4,Monday
1,7,0,11,0,3,Thursday
1,7,0,20,0,2,Wednesday
1,7,0,16,0,3,Monday
1,12,0,15,0,11,Tuesday
1,15,0,16,1,8,Monday
1,7,0,13,0,2,Tuesday
1,7,0,23,0,2,Tuesday
1,12,0,15,0,11,Tuesday
1,7,0,19,0,3,Tuesday
1,5,0,17,0,7,Wednesday
1,7,0,8,0,1,Friday
2,6,0,0,0,10,Tuesday
1,15,0,12,0,9,Friday
1,10,0,14,0,4,Friday
1,12,0,16,0,11,Tuesday
1,7,0,11,0,3,Monday
1,6,0,10,0,8,Thursday
2,4,0,20,0,1,Friday
2,13,0,17,0,3,Tuesday
4,4,0,19,0,2,Monday
1,7,0,19,0,1,Wednesday
1,6,0,18,0,10,Thursday
1,16,1,11,0,5,Monday
1,6,0,20,0,8,Monday
1,6,0,19,0,10,Tuesday
2,12,0,12,0,9,Tuesday
2,12,0,9,0,11,Monday
1,16,0,18,0,2,Thursday
1,16,0,8,0,1,Tuesday
2,14,0,16,0,6,Monday
7,3,0,12,0,12,Tuesday
1,15,0,11,0,10,Wednesday
1,18,0,13,0,11,Monday
1,18,0,14,0,9,Friday
1,11,0,16,0,6,Monday
1,6,0,8,0,10,Friday
1,3,0,18,0,11,Wednesday
1,3,0,18,0,11,Wednesday
2,6,0,12,0,10,Friday
1,18,0,8,0,11,Tuesday
1,18,0,9,0,9,Thursday
1,18,0,9,0,10,Tuesday
1,3,0,21,0,10,Wednesday
1,13,0,12,0,4,Thursday
1,16,0,9,0,3,Wednesday
2,7,0,17,0,3,Thursday
4,15,0,8,1,8,Wednesday
1,7,0,15,0,3,Friday
1,5,0,18,0,6,Tuesday
1,18,0,10,0,8,Tuesday
1,5,0,15,0,7,Monday
5,6,0,18,0,8,Tuesday
