Time,Semester Break,Exam,Holiday,Tickets,Weekday,Month
11/2/2020,0,0,0,43,0,11
11/3/2020,0,0,0,12,0,11
11/4/2020,0,0,0,7,0,11
11/5/2020,0,0,0,7,0,11
11/6/2020,0,0,0,33,0,11
11/7/2020,0,0,0,0,1,11
11/8/2020,0,0,0,0,1,11
11/9/2020,0,0,0,66,0,11
11/10/2020,0,0,0,13,0,11
11/11/2020,0,0,0,17,0,11
11/12/2020,0,0,0,8,0,11
11/13/2020,0,0,0,13,0,11
11/14/2020,0,0,0,0,1,11
11/15/2020,0,0,0,0,1,11
11/16/2020,0,0,0,15,0,11
11/17/2020,0,0,0,14,0,11
11/18/2020,0,0,0,11,0,11
11/19/2020,0,0,0,35,0,11
11/20/2020,0,0,0,9,0,11
11/21/2020,0,0,0,0,1,11
11/22/2020,0,0,0,0,1,11
11/23/2020,0,0,0,12,0,11
11/24/2020,0,0,0,9,0,11
11/25/2020,0,0,1,7,0,11
11/26/2020,0,0,1,0,0,11
11/27/2020,0,0,1,0,0,11
11/28/2020,0,0,0,0,1,11
11/29/2020,0,0,0,0,1,11
11/30/2020,0,0,0,6,0,11
12/1/2020,0,0,0,0,0,12
12/2/2020,0,0,0,4,0,12
12/3/2020,0,0,0,0,0,12
12/4/2020,0,0,0,3,0,12
12/5/2020,0,0,0,0,1,12
12/6/2020,0,0,0,0,1,12
12/7/2020,0,0,0,3,0,12
12/8/2020,0,0,0,5,0,12
12/9/2020,0,0,1,7,0,12
12/10/2020,0,1,0,6,0,12
12/11/2020,0,1,0,3,0,12
12/12/2020,0,1,0,0,1,12
12/13/2020,0,1,0,0,1,12
12/14/2020,0,1,0,0,0,12
12/15/2020,0,1,0,0,0,12
12/16/2020,0,1,0,0,0,12
12/17/2020,1,0,0,2,0,12
12/18/2020,1,0,0,0,0,12
12/19/2020,1,0,0,0,1,12
12/20/2020,1,0,0,0,1,12
12/21/2020,1,0,0,0,0,12
12/22/2020,1,0,0,2,0,12
12/23/2020,1,0,0,0,0,12
12/24/2020,1,0,0,0,0,12
12/25/2020,1,0,0,0,0,12
12/26/2020,1,0,0,0,1,12
12/27/2020,1,0,0,0,1,12
12/28/2020,1,0,0,0,0,12
12/29/2020,1,0,0,0,0,12
12/30/2020,1,0,0,0,0,12
12/31/2020,1,0,0,0,0,12
1/1/2021,1,0,1,0,0,1
1/2/2021,1,0,0,0,1,1
1/3/2021,1,0,0,0,1,1
1/4/2021,1,0,0,0,0,1
1/5/2021,1,0,0,0,0,1
1/6/2021,1,0,0,0,0,1
1/7/2021,1,0,0,0,0,1
1/8/2021,1,0,0,0,0,1
1/9/2021,1,0,0,0,1,1
1/10/2021,1,0,0,0,1,1
1/11/2021,1,0,0,0,0,1
1/12/2021,1,0,0,1,0,1
1/13/2021,1,0,0,2,0,1
1/14/2021,1,0,0,0,0,1
1/15/2021,1,0,0,0,0,1
1/16/2021,1,0,0,0,1,1
1/17/2021,1,0,0,0,1,1
1/18/2021,1,0,1,0,0,1
1/19/2021,0,0,0,0,0,1
1/20/2021,0,0,0,5,0,1
1/21/2021,0,0,0,8,0,1
1/22/2021,0,0,0,3,0,1
1/23/2021,0,0,0,0,1,1
1/24/2021,0,0,0,0,1,1
1/25/2021,0,0,0,8,0,1
1/26/2021,0,0,0,6,0,1
1/27/2021,0,0,0,40,0,1
1/28/2021,0,0,0,41,0,1
1/29/2021,0,0,0,16,0,1
1/30/2021,0,0,0,0,1,1
1/31/2021,0,0,0,0,1,1
2/1/2021,0,0,0,28,0,2
2/2/2021,0,0,0,26,0,2
2/3/2021,0,0,0,19,0,2
2/4/2021,0,0,0,12,0,2
2/5/2021,0,0,0,6,0,2
2/6/2021,0,0,0,0,1,2
2/7/2021,0,0,0,0,1,2
2/8/2021,0,0,0,5,0,2
2/9/2021,0,0,0,20,0,2
2/10/2021,0,0,0,20,0,2
2/11/2021,0,0,0,0,0,2
2/12/2021,0,0,0,7,0,2
2/13/2021,0,0,0,0,1,2
2/14/2021,0,0,0,0,1,2
2/15/2021,0,0,0,0,0,2
2/16/2021,0,0,0,0,0,2
2/17/2021,0,0,0,0,0,2
2/18/2021,0,0,0,0,0,2
2/19/2021,0,0,0,0,0,2
2/20/2021,0,0,0,0,1,2
2/21/2021,0,0,0,0,1,2
2/22/2021,0,0,0,22,0,2
2/23/2021,0,0,0,32,0,2
2/24/2021,0,0,0,28,0,2
2/25/2021,0,0,0,11,0,2
2/26/2021,0,0,0,14,0,2
2/27/2021,0,0,0,0,1,2
2/28/2021,0,0,0,0,1,2
3/1/2021,0,0,0,16,0,3
3/2/2021,0,0,0,18,0,3
3/3/2021,0,0,0,33,0,3
3/4/2021,0,0,0,11,0,3
3/5/2021,0,0,0,24,0,3
3/6/2021,0,0,0,0,1,3
3/7/2021,0,0,0,0,1,3
3/8/2021,0,0,0,8,0,3
3/9/2021,0,0,0,17,0,3
3/10/2021,0,0,0,21,0,3
3/11/2021,0,0,0,5,0,3
3/12/2021,0,0,0,16,0,3
3/13/2021,0,0,0,0,1,3
3/14/2021,0,0,0,0,1,3
3/15/2021,0,0,0,14,0,3
3/16/2021,0,0,0,11,0,3
3/17/2021,0,0,0,2,0,3
3/18/2021,0,0,0,9,0,3
3/19/2021,0,0,0,0,0,3
3/20/2021,0,0,0,0,1,3
3/21/2021,0,0,0,0,1,3
3/22/2021,0,0,0,24,0,3
3/23/2021,0,0,0,16,0,3
3/24/2021,0,0,0,26,0,3
3/25/2021,0,0,0,25,0,3
3/26/2021,0,0,0,11,0,3
3/27/2021,0,0,0,0,1,3
3/28/2021,0,0,0,0,1,3
3/29/2021,0,0,0,24,0,3
3/30/2021,0,0,0,17,0,3
3/31/2021,0,0,0,13,0,3
4/1/2021,0,0,0,10,0,4
4/2/2021,0,0,0,13,0,4
4/3/2021,0,0,0,0,1,4
4/4/2021,0,0,0,0,1,4
4/5/2021,0,0,0,6,0,4
4/6/2021,0,0,0,10,0,4
4/7/2021,0,0,0,19,0,4
4/8/2021,0,0,0,15,0,4
4/9/2021,0,0,0,13,0,4
4/10/2021,0,0,0,0,1,4
4/11/2021,0,0,0,0,1,4
4/12/2021,0,0,0,8,0,4
4/13/2021,0,0,0,11,0,4
4/14/2021,0,0,0,13,0,4
4/15/2021,0,0,0,14,0,4
4/16/2021,0,0,0,18,0,4
4/17/2021,0,0,0,0,1,4
4/18/2021,0,0,0,0,1,4
4/19/2021,0,0,0,10,0,4
4/20/2021,0,0,0,5,0,4
4/21/2021,0,0,0,10,0,4
4/22/2021,0,0,0,8,0,4
4/23/2021,0,0,0,3,0,4
4/24/2021,0,0,0,0,1,4
4/25/2021,0,0,0,0,1,4
4/26/2021,0,0,0,4,0,4
4/27/2021,0,0,0,9,0,4
4/28/2021,0,0,0,11,0,4
4/29/2021,0,0,0,7,0,4
4/30/2021,0,0,0,5,0,4
