target,Semester,Exam,Time_of_day,Month,Holiday
2,16,0,8,1,0
2,16,0,10,1,0
1,16,0,20,2,0
2,16,0,15,2,0
2,13,0,12,3,0
1,16,0,8,2,0
2,16,0,8,2,0
2,16,0,10,2,0
2,15,0,7,11,0
2,14,0,12,7,0
2,15,0,13,9,0
1,16,0,8,2,0
1,16,0,11,2,0
1,16,0,10,3,0
2,13,0,15,2,0
2,16,0,8,3,0
2,15,0,11,8,0
1,16,0,17,3,0
1,16,0,11,3,0
2,16,0,13,3,0
1,16,0,14,3,0
2,16,0,13,3,0
2,15,0,13,8,0
1,16,0,14,3,0
1,16,0,15,3,0
2,12,0,15,10,0
2,15,0,18,10,0
2,12,0,13,12,0
2,13,0,15,3,0
2,15,0,8,9,0
1,16,0,19,4,0
1,16,0,14,4,0
2,15,0,16,11,0
1,16,0,7,4,0
1,16,0,11,4,0
1,16,0,11,4,0
2,16,0,20,4,0
2,16,0,9,1,0
1,16,0,14,4,0
1,16,0,7,5,0
1,16,0,11,5,0
1,16,0,13,5,0
1,16,0,14,5,0
2,12,0,15,9,0
2,16,0,10,4,0
1,16,1,10,5,0
2,15,0,11,9,0
2,16,0,20,3,0
2,15,0,14,9,0
2,12,0,15,9,0
2,16,1,15,5,0
2,16,1,12,5,0
2,16,0,13,2,0
2,15,0,8,11,0
2,12,0,8,12,0
2,16,0,9,2,0
2,12,0,15,10,0
2,14,0,9,6,0
2,13,0,10,2,0
1,17,0,19,7,0
2,15,0,11,9,0
2,12,0,7,9,0
1,17,0,13,8,0
2,16,0,9,1,0
2,16,0,11,1,0
2,20,0,16,8,0
1,20,0,18,8,0
1,18,0,16,8,0
1,18,0,19,8,0
2,18,0,11,8,0
2,18,0,12,8,0
2,18,0,16,8,0
2,13,0,8,2,0
1,18,0,16,9,0
2,12,0,12,10,0
1,18,0,17,9,0
1,18,0,14,9,0
2,15,0,14,11,0
1,18,0,18,9,0
2,18,0,13,9,0
2,16,0,19,2,0
2,18,0,16,8,0
1,18,0,14,9,0
2,15,0,15,8,0
2,18,0,15,9,0
1,18,0,11,10,0
2,15,0,13,9,0
1,18,0,19,10,0
2,18,0,18,10,0
2,12,0,17,9,0
1,18,0,18,10,0
2,18,0,12,8,0
2,15,0,18,11,0
2,16,1,12,5,0
2,18,0,20,10,0
1,18,0,8,10,0
2,18,0,8,9,0
2,12,0,15,11,0
2,15,0,17,9,0
2,17,0,16,7,0
1,18,0,17,10,0
1,18,0,20,11,0
2,12,0,16,11,0
2,18,0,14,10,0
1,18,0,18,11,0
1,18,0,20,11,0
2,13,0,13,3,0
1,18,0,8,11,0
2,18,0,16,9,0
1,18,0,14,11,0
2,18,0,16,11,0
2,13,0,7,3,0
1,18,0,17,11,0
2,15,0,13,8,0
2,15,0,16,9,0
2,18,0,14,11,0
1,18,0,18,11,0
1,18,0,14,11,0
2,18,0,14,10,0
2,18,0,14,11,0
1,18,0,10,12,0
1,18,0,13,12,0
2,15,0,17,10,0
2,16,0,16,3,0
2,15,0,15,11,0
2,15,0,19,10,0
1,18,1,15,12,0
2,17,0,11,5,0
1,18,1,19,12,0
2,12,0,8,10,0
1,20,0,11,1,0
1,20,0,14,1,0
1,20,0,18,1,0
2,19,0,18,1,0
2,18,0,13,12,0
2,18,0,11,11,0
1,19,0,12,2,0
2,19,0,10,2,0
2,15,0,14,10,0
2,19,0,13,2,0
1,19,0,9,3,0
1,12,0,8,10,0
1,13,1,9,5,0
1,0,0,16,12,0
2,14,0,17,5,0
2,15,0,8,9,0
2,15,0,20,8,0
1,16,0,15,4,0
2,15,0,10,10,0
1,16,0,18,4,0
2,15,0,14,10,0
