Time,Exam,Holiday,Semester,Issued Amount
6/4/20,0,0,8,0
6/5/20,0,0,8,0
6/6/20,0,0,8,0
6/7/20,0,0,8,0
6/8/20,0,0,8,0
6/9/20,0,0,8,0
6/10/20,0,0,8,0
6/11/20,0,0,8,0
6/12/20,0,0,8,0
6/13/20,0,0,8,0
6/14/20,0,0,8,0
6/15/20,0,0,8,0
6/16/20,0,0,8,0
6/17/20,0,0,8,0
6/18/20,0,0,8,0
6/19/20,0,0,8,0
6/20/20,0,0,8,0
6/21/20,0,0,8,0
6/22/20,0,0,8,0
6/23/20,0,0,8,0
6/24/20,0,0,8,100
6/25/20,0,0,8,0
6/26/20,0,0,8,0
6/27/20,0,0,8,0
6/28/20,0,0,8,0
6/29/20,0,0,8,0
6/30/20,0,0,8,0
7/1/20,0,0,8,0
7/2/20,0,0,8,0
7/3/20,0,0,8,0
7/4/20,0,1,8,0
7/5/20,0,0,8,0
7/6/20,0,0,8,0
7/7/20,0,0,8,0
7/8/20,0,0,8,0
7/9/20,0,0,8,0
7/10/20,0,0,8,0
7/11/20,0,0,8,0
7/12/20,0,0,8,0
7/13/20,0,0,8,0
7/14/20,0,0,8,0
7/15/20,0,0,8,0
7/16/20,0,0,8,0
7/17/20,0,0,8,0
7/18/20,0,0,8,0
7/19/20,0,0,8,55
7/20/20,0,0,8,0
7/21/20,0,0,8,0
7/22/20,0,0,8,0
7/23/20,0,0,8,0
7/24/20,0,0,8,0
7/25/20,0,0,8,0
7/26/20,0,0,8,0
7/27/20,0,0,8,0
7/28/20,0,0,8,0
7/29/20,0,0,8,0
7/30/20,0,0,8,0
7/31/20,0,0,8,0
8/1/20,0,0,8,0
8/2/20,0,0,8,0
8/3/20,0,0,8,0
8/4/20,0,0,8,750
8/5/20,0,0,8,0
8/6/20,0,0,8,0
8/7/20,0,0,8,55
8/8/20,0,0,8,0
8/9/20,0,0,8,0
8/10/20,0,0,8,0
8/11/20,0,0,8,0
8/12/20,0,0,8,0
8/13/20,0,0,8,0
8/14/20,0,0,8,0
8/15/20,0,0,8,0
8/16/20,0,0,8,0
8/17/20,1,0,8,0
8/18/20,1,0,8,0
8/19/20,0,0,1,0
8/20/20,0,0,1,0
8/21/20,0,0,1,0
8/22/20,0,0,1,0
8/23/20,0,0,1,0
8/24/20,0,0,1,0
8/25/20,0,0,1,130
8/26/20,0,0,9,3870
8/27/20,0,0,9,215
8/28/20,0,0,9,130
8/29/20,0,0,9,0
8/30/20,0,0,9,75
8/31/20,0,0,9,1695
9/1/20,0,0,9,225
9/2/20,0,0,9,1020
9/3/20,0,0,9,785
9/4/20,0,0,9,395
9/5/20,0,0,9,0
9/6/20,0,0,9,0
9/7/20,0,1,9,0
9/8/20,0,0,9,150
9/9/20,0,0,9,3205
9/10/20,0,0,9,5625
9/11/20,0,0,9,3980
9/12/20,0,0,9,0
9/13/20,0,0,9,0
9/14/20,0,0,9,4845
9/15/20,0,0,9,3220
9/16/20,0,0,9,6045
9/17/20,0,0,9,5420
9/18/20,0,0,9,280
9/19/20,0,0,9,0
9/20/20,0,0,9,0
9/21/20,0,0,9,3235
9/22/20,0,0,9,6270
9/23/20,0,0,9,6530
9/24/20,0,0,9,4690
9/25/20,0,0,9,4755
9/26/20,0,0,9,120
9/27/20,0,0,9,200
9/28/20,0,0,9,7285
9/29/20,0,0,9,2290
9/30/20,0,0,9,5130
10/1/20,0,0,9,4325
10/2/20,0,0,9,2345
10/3/20,0,0,9,600
10/4/20,0,0,9,120
10/5/20,0,0,9,4155
10/6/20,0,0,9,4545
10/7/20,0,0,9,8700
10/8/20,0,0,9,9795
10/9/20,0,0,9,9675
10/10/20,0,0,9,760
10/11/20,0,0,9,655
10/12/20,0,0,9,7565
10/13/20,0,0,9,7145
10/14/20,0,0,9,8900
10/15/20,0,0,9,4720
10/16/20,0,0,9,8800
10/17/20,0,0,9,0
10/18/20,0,0,9,280
10/19/20,0,0,9,13565
10/20/20,0,0,9,8875
10/21/20,0,0,9,10460
10/22/20,0,0,9,4765
10/23/20,0,0,9,6735
10/24/20,0,0,9,40
10/25/20,0,0,9,760
10/26/20,0,0,9,6830
10/27/20,0,0,9,10945
10/28/20,0,0,9,5805
10/29/20,0,0,9,8580
10/30/20,0,0,9,6155
10/31/20,0,0,9,40
11/1/20,0,0,9,240
11/2/20,0,0,9,11260
11/3/20,0,0,9,6560
11/4/20,0,0,9,5105
11/5/20,0,0,9,6810
11/6/20,0,0,9,7350
11/7/20,0,0,9,720
11/8/20,0,0,9,120
11/9/20,0,0,9,9120
11/10/20,0,0,9,6430
11/11/20,0,0,9,5310
11/12/20,0,0,9,5870
11/13/20,0,0,9,4105
11/14/20,0,0,9,320
11/15/20,0,0,9,120
11/16/20,0,0,9,4685
11/17/20,0,0,9,4670
11/18/20,0,0,9,3690
11/19/20,0,0,9,7075
11/20/20,0,0,9,6180
11/21/20,0,0,9,2120
11/22/20,0,0,9,80
11/23/20,0,0,9,4540
11/24/20,0,0,9,5395
11/25/20,0,1,9,1600
11/26/20,0,1,9,40
11/27/20,0,1,9,40
11/28/20,0,0,9,80
11/29/20,0,0,9,0
11/30/20,0,0,9,2470
12/1/20,0,0,9,650
12/2/20,0,0,9,6595
12/3/20,0,0,9,5570
12/4/20,0,0,9,2340
12/5/20,0,0,9,240
12/6/20,0,0,9,40
12/7/20,0,0,9,3025
12/8/20,0,0,9,6060
12/9/20,0,1,9,2925
